Global;DescriptionGlobal;Local;DescriptionLocal
G_WWW_P_KCM_K2Fab;Global Group tbv Workflow K2 - Functioneel Applicatie Beheer (VLK gebruikers);L_WWW_P_KCM_K2Fab;Domain Local group tbv Workflow K2 - Functioneel Applicatie Beheer (VLK gebruikers)
G_WWW_P_KCM_K2CSBeheerdesk;Global Group tbv Workflow K2 - KCM - Portfolio Management  (VLK gebruikers);L_WWW_P_KCM_K2CSBeheerdesk;Domain Local group tbv Workflow K2 - KCM - Portfolio Management  (VLK gebruikers)
G_WWW_P_KCM_K2CorpAObserver;Global Group tbv Workflow K2 - KCM - CorpAObserver  (VLK gebruikers);L_WWW_P_KCM_K2CorpAObserver;Domain Local group tbv Workflow K2 - KCM - CorpAObserver  (VLK gebruikers)
G_WWW_P_KCM_K2CorpAManager;Global Group tbv Workflow K2 - KCM - CorpAManager  (VLK gebruikers);L_WWW_P_KCM_K2CorpAManager;Domain Local group tbv Workflow K2 - KCM - CorpAManager  (VLK gebruikers)
G_WWW_P_KCM_K2CorpAAdministrator;Global Group tbv Workflow K2 - KCM - CorpAAdministrator  (VLK gebruikers);L_WWW_P_KCM_K2CorpAAdministrator;Domain Local group tbv Workflow K2 - KCM - CorpAAdministrator  (VLK gebruikers)
G_WWW_P_KCM_K2CioAndPmFm;Global Group tbv Workflow K2 - KCM - CioAndPmFm  (VLK gebruikers);L_WWW_P_KCM_K2CioAndPmFm;Domain Local group tbv Workflow K2 - KCM - CioAndPmFm  (VLK gebruikers)
G_WWW_P_KCM_K2BusinessRisk;Global Group tbv Workflow K2 - KCM - Business Risk  (VLK gebruikers);L_WWW_P_KCM_K2BusinessRisk;Domain Local group tbv Workflow K2 - KCM - Business Risk  (VLK gebruikers)
G_WWW_P_KCM_K2Compliance;Global Group tbv Workflow K2 - KCM - Compliance  (VLK gebruikers);L_WWW_P_KCM_K2Compliance;Domain Local group tbv Workflow K2 - KCM - Compliance  (VLK gebruikers)
G_WWW_P_KCM_K2Approvers;Global Group tbv Workflow K2 - KCM - Approvers  (VLK gebruikers);L_WWW_P_KCM_K2Approvers;Domain Local group tbv Workflow K2 - KCM - Approvers  (VLK gebruikers)
G_WWW_P_KCM_K2Legal;Global Group tbv Workflow K2 - KCM - Legal  (VLK gebruikers);L_WWW_P_KCM_K2Legal;Domain Local group tbv Workflow K2 - KCM - Legal  (VLK gebruikers)
G_WWW_P_KCM_K2IAD;Global Group tbv Workflow K2 - KCM - IAD (VLK gebruikers);L_WWW_P_KCM_K2IAD;Domain Local group tbv Workflow K2 - KCM - IAD (VLK gebruikers)
G_WWW_P_KCM_K2FmSupport;Global Group tbv Workflow K2 - KCM - FmSupport  (VLK gebruikers);L_WWW_P_KCM_K2FmSupport;Domain Local group tbv Workflow K2 - KCM - FmSupport  (VLK gebruikers)
G_WWW_P_KCM_K2FinanceAndControl ;Global Group tbv Workflow K2 - KCM - FinanceAndControl  (VLK gebruikers);L_WWW_P_KCM_K2FinanceAndControl ;Domain Local group tbv Workflow K2 - KCM - FinanceAndControl  (VLK gebruikers)
G_WWW_P_KCM_K2EnterpriseRiskManagement;Global Group tbv Workflow K2 - KCM - EnterpriseRiskManagement  (VLK gebruikers);L_WWW_P_KCM_K2EnterpriseRiskManagement;Domain Local group tbv Workflow K2 - KCM - EnterpriseRiskManagement  (VLK gebruikers)
G_WWW_P_KCM_K2DividendAdministrator;Global Group tbv Workflow K2 - KCM - DividendAdministrator  (VLK gebruikers);L_WWW_P_KCM_K2DividendAdministrator;Domain Local group tbv Workflow K2 - KCM - DividendAdministrator  (VLK gebruikers)
G_WWW_P_KCM_K2DirectorSales;Global Group tbv Workflow K2 - KCM - DirectorSales  (VLK gebruikers);L_WWW_P_KCM_K2DirectorSales;Domain Local group tbv Workflow K2 - KCM - DirectorSales  (VLK gebruikers)
G_WWW_P_KCM_K2Director;Global Group tbv Workflow K2 - KCM - Director  (VLK gebruikers);L_WWW_P_KCM_K2Director;Domain Local group tbv Workflow K2 - KCM - Director  (VLK gebruikers)
G_WWW_P_KCM_K2CSD;Global Group tbv Workflow K2 - KCM - CSD  (Kempen gebruikers);L_WWW_P_KCM_K2CSD;Domain Local group tbv Workflow K2 - KCM - CSD  (Kempen gebruikers)
G_WWW_P_KCM_K2Sales;Global Group tbv Workflow K2 - KCM - Sales  (VLK gebruikers);L_WWW_P_KCM_K2Sales;Domain Local group tbv Workflow K2 - KCM - Sales  (VLK gebruikers)
G_WWW_P_KCM_K2ReportViewer;Global Group tbv Workflow K2 - KCM - ReportViewer (VLK gebruikers);L_WWW_P_KCM_K2ReportViewer;Domain Local group tbv Workflow K2 - KCM - ReportViewer (VLK gebruikers)
